timestamp,location_id,pickup_address,drop_address,pickup_lat,pickup_lng,drop_lat,drop_lng,vehicle_type,fare,discount,driver_count
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,2 Wheeler,86,7.0,8
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,3 Wheeler,423,0.0,8
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,Tata Ace,608,0.0,5
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,Eeco,518,0.0,3
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,Pickup 8ft,798,0.0,5
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,E Loader,243,0.0,1
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,10ft,2314,0.0,8
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,14ft (Closed),3548,0.0,4
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,14ft,3703,0.0,5
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,14ft (Open),3703,0.0,1
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,17ft,4381,0.0,2
2026-03-28 21:00:40 IST,3,". , 8907,Sidipura,Karol Bagh Karol Bagh 110005, Central Delhi, Delhi","C-14,Rani Jhansi Rd,Block E,Jhandewalan Extension,Jhandewalan , Jhandewalan ,110055, Central Delhi, Delhi",28.656713,77.202518,28.657409,77.203544,19ft,4064,0.0,0
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,2 Wheeler,64,5.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,3 Wheeler,352,0.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,Tata Ace,577,0.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,Eeco,437,0.0,4
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,Pickup 8ft,717,0.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,E Loader,262,0.0,6
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,10ft,989,0.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,14ft (Closed),2067,0.0,6
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,14ft,2224,0.0,8
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,14ft (Open),2224,0.0,4
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,17ft,2689,0.0,1
2026-03-28 21:00:55 IST,4,"Govt. Wine Shop , Mangol Puri Industrial Area Phase I, Phase 1, Pocket B, Industrial Area ,110083, North West Delhi, Delhi","175, near MCD park, Peera Garhi, Peeragarhi Village, Paschim Vihar",28.686134,77.082118,28.676516,77.0917,19ft,4089,0.0,2
2026-03-28 21:01:08 IST,5,"Mangolpuri Industrial Area Phase II , Phase 2, Pocket A, Industrial Area","Peera Garhi, Peeragarhi Village, Paschim Vihar, Delhi, India",28.68502,77.098174,28.676516,77.0917,2 Wheeler,60,5.0,8
2026-03-28 21:01:08 IST,5,"Mangolpuri Industrial Area Phase II , Phase 2, Pocket A, Industrial Area","Peera Garhi, Peeragarhi Village, Paschim Vihar, Delhi, India",28.68502,77.098174,28.676516,77.0917,3 Wheeler,350,0.0,8
2026-03-28 21:01:08 IST,5,"Mangolpuri Industrial Area Phase II , Phase 2, Pocket A, Industrial Area","Peera Garhi, Peeragarhi Village, Paschim Vihar, Delhi, India",28.68502,77.098174,28.676516,77.0917,Tata Ace,575,0.0,8
2026-03-28 21:01:08 IST,5,"Mangolpuri Industrial Area Phase II , Phase 2, Pocket A, Industrial Area","Peera Garhi, Peeragarhi Village, Paschim Vihar, Delhi, India",28.68502,77.098174,28.676516,77.0917,Eeco,435,0.0,4
2026-03-28 21:01:08 IST,5,"Mangolpuri Industrial Area Phase II , Phase 2, Pocket A, Industrial Area","Peera Garhi, Peeragarhi Village, Paschim Vihar, Delhi, India",28.68502,77.098174,28.676516,77.0917,Pickup 8ft,715,0.0,8
