time,loc,vehicle,fare,disc,drivers
12:00:13,1,2 Wheeler,59,5.0,8
12:00:13,1,3 Wheeler,267,0.0,7
12:00:13,1,Tata Ace,412,0.0,8
12:00:13,1,Eeco,322,0.0,5
12:00:13,1,Pickup 8ft,602,0.0,8
12:00:13,1,E Loader,247,0.0,8
12:00:13,1,10ft,919,0.0,8
12:00:13,1,14ft (Closed),1552,0.0,0
12:00:13,1,14ft,1707,0.0,1
12:00:13,1,14ft (Open),1707,0.0,1
12:00:13,1,17ft,2169,0.0,2
12:00:13,1,19ft,3069,0.0,0
12:00:29,2,2 Wheeler,58,5.0,8
12:00:29,2,3 Wheeler,284,0.0,8
12:00:29,2,Tata Ace,419,0.0,8
12:00:29,2,Eeco,329,0.0,2
12:00:29,2,Pickup 8ft,609,0.0,8
12:00:29,2,E Loader,254,0.0,5
12:00:29,2,10ft,928,0.0,4
12:00:29,2,14ft (Closed),1559,0.0,2
12:00:29,2,14ft,1714,0.0,8
12:00:29,2,14ft (Open),1714,0.0,6
12:00:29,2,17ft,2178,0.0,1
12:00:29,2,19ft,3078,0.0,0
12:00:43,3,2 Wheeler,86,7.0,8
12:00:43,3,3 Wheeler,363,0.0,8
12:00:43,3,Tata Ace,508,0.0,8
12:00:43,3,Eeco,418,0.0,6
12:00:43,3,Pickup 8ft,698,0.0,4
12:00:43,3,E Loader,243,0.0,1
12:00:43,3,10ft,1314,0.0,4
12:00:43,3,14ft (Closed),2548,0.0,6
12:00:43,3,14ft,2703,0.0,8
12:00:43,3,14ft (Open),2703,0.0,3
12:00:43,3,17ft,3381,0.0,1
12:00:43,3,19ft,3064,0.0,0
12:00:58,4,2 Wheeler,64,5.0,8
12:00:58,4,3 Wheeler,292,0.0,8
12:00:58,4,Tata Ace,427,0.0,8
12:00:58,4,Eeco,337,0.0,3
12:00:58,4,Pickup 8ft,617,0.0,8
12:00:58,4,E Loader,262,0.0,8
12:00:58,4,10ft,939,0.0,8
12:00:58,4,14ft (Closed),1567,0.0,3
12:00:58,4,14ft,1724,0.0,8
12:00:58,4,14ft (Open),1724,0.0,7
12:00:58,4,17ft,2189,0.0,0
12:00:58,4,19ft,3089,0.0,0
12:01:11,5,2 Wheeler,60,5.0,8
12:01:11,5,3 Wheeler,290,0.0,8
12:01:11,5,Tata Ace,425,0.0,8
12:01:11,5,Eeco,335,0.0,5
12:01:11,5,Pickup 8ft,615,0.0,4
12:01:11,5,E Loader,260,0.0,6
12:01:11,5,10ft,937,0.0,5
12:01:11,5,14ft (Closed),1565,0.0,2
12:01:11,5,14ft,1722,0.0,4
12:01:11,5,14ft (Open),1722,0.0,2
12:01:11,5,17ft,2187,0.0,0
12:01:11,5,19ft,3087,0.0,0
12:01:25,6,2 Wheeler,62,5.0,8
12:01:25,6,3 Wheeler,281,0.0,8
12:01:25,6,Tata Ace,416,0.0,8
12:01:25,6,Eeco,326,0.0,8
12:01:25,6,Pickup 8ft,606,0.0,8
12:01:25,6,E Loader,251,0.0,0
12:01:25,6,10ft,925,0.0,8
12:01:25,6,14ft (Closed),1556,0.0,4
12:01:25,6,14ft,1712,0.0,8
12:01:25,6,14ft (Open),1712,0.0,6
12:01:25,6,17ft,2175,0.0,0
12:01:25,6,19ft,3075,0.0,1
12:01:41,7,2 Wheeler,89,7.0,8
12:01:41,7,3 Wheeler,281,0.0,8
12:01:41,7,Tata Ace,476,0.0,7
12:01:41,7,Eeco,336,0.0,6
12:01:41,7,Pickup 8ft,616,0.0,4
12:01:41,7,E Loader,261,0.0,1
12:01:41,7,10ft,1338,0.0,3
12:01:41,7,14ft (Closed),2566,0.0,1
12:01:41,7,14ft,2722,0.0,2
12:01:41,7,14ft (Open),2722,0.0,1
12:01:41,7,17ft,3406,0.0,1
12:01:41,7,19ft,3238,0.0,0
12:01:58,8,2 Wheeler,89,7.0,8
12:01:58,8,3 Wheeler,327,0.0,5
12:01:58,8,Tata Ace,539,0.0,7
12:01:58,8,Eeco,391,0.0,7
12:01:58,8,Pickup 8ft,693,0.0,4
12:01:58,8,E Loader,301,0.0,1
12:01:58,8,10ft,1224,0.0,3
12:01:58,8,14ft (Closed),2181,0.0,0
12:01:58,8,14ft,2362,0.0,0
12:01:58,8,14ft (Open),2362,0.0,0
12:01:58,8,17ft,2937,0.0,0
12:01:58,8,19ft,3265,0.0,0
12:02:12,9,2 Wheeler,92,7.0,8
12:02:12,9,3 Wheeler,279,0.0,8
12:02:12,9,Tata Ace,474,0.0,8
12:02:12,9,Eeco,334,0.0,8
12:02:12,9,Pickup 8ft,614,0.0,8
12:02:12,9,E Loader,259,0.0,1
12:02:12,9,10ft,1335,0.0,8
12:02:12,9,14ft (Closed),2564,0.0,2
12:02:12,9,14ft,2720,0.0,2
12:02:12,9,14ft (Open),2720,0.0,0
12:02:12,9,17ft,3404,0.0,1
12:02:12,9,19ft,3235,0.0,0
12:02:27,10,2 Wheeler,67,5.0,8
12:02:27,10,3 Wheeler,295,0.0,8
12:02:27,10,Tata Ace,432,0.0,8
12:02:27,10,Eeco,341,0.0,5
12:02:27,10,Pickup 8ft,623,0.0,6
12:02:27,10,E Loader,265,0.0,5
12:02:27,10,10ft,946,0.0,3
12:02:27,10,14ft (Closed),1576,0.0,1
12:02:27,10,14ft,1735,0.0,1
12:02:27,10,14ft (Open),1735,0.0,0
12:02:27,10,17ft,2190,0.0,0
12:02:27,10,19ft,3090,0.0,0
12:02:41,11,2 Wheeler,113,9.0,8
12:02:41,11,3 Wheeler,321,0.0,8
12:02:41,11,Tata Ace,530,0.0,8
12:02:41,11,Eeco,384,0.0,8
12:02:41,11,Pickup 8ft,682,0.0,8
12:02:41,11,E Loader,296,0.0,2
12:02:41,11,10ft,1412,0.0,8
12:02:41,11,14ft (Closed),2663,0.0,3
12:02:41,11,14ft,2841,0.0,3
12:02:41,11,14ft (Open),2841,0.0,0
12:02:41,11,17ft,3434,0.0,2
12:02:41,11,19ft,3263,0.0,0
12:02:54,12,2 Wheeler,65,5.0,8
12:02:54,12,3 Wheeler,289,0.0,8
12:02:54,12,Tata Ace,424,0.0,8
12:02:54,12,Eeco,334,0.0,6
12:02:54,12,Pickup 8ft,614,0.0,7
12:02:54,12,E Loader,259,0.0,6
12:02:54,12,10ft,935,0.0,4
12:02:54,12,14ft (Closed),1564,0.0,2
12:02:54,12,14ft,1720,0.0,5
12:02:54,12,14ft (Open),1720,0.0,3
12:02:54,12,17ft,2185,0.0,0
12:02:54,12,19ft,3085,0.0,0
12:03:10,13,2 Wheeler,84,7.0,8
12:03:10,13,3 Wheeler,329,0.0,8
12:03:10,13,Tata Ace,485,0.0,8
12:03:10,13,Eeco,387,0.0,8
12:03:10,13,Pickup 8ft,691,0.0,8
12:03:10,13,E Loader,296,0.0,3
12:03:10,13,10ft,1053,0.0,6
12:03:10,13,14ft (Closed),1723,0.0,4
12:03:10,13,14ft,1913,0.0,8
12:03:10,13,14ft (Open),1913,0.0,6
12:03:10,13,17ft,2221,0.0,0
12:03:10,13,19ft,3121,0.0,2
12:03:22,14,2 Wheeler,59,5.0,8
12:03:22,14,3 Wheeler,266,0.0,8
12:03:22,14,Tata Ace,411,0.0,8
12:03:22,14,Eeco,321,0.0,8
12:03:22,14,Pickup 8ft,601,0.0,8
12:03:22,14,E Loader,246,0.0,4
12:03:22,14,10ft,918,0.0,8
12:03:22,14,14ft (Closed),1551,0.0,0
12:03:22,14,14ft,1706,0.0,1
12:03:22,14,14ft (Open),1706,0.0,1
12:03:22,14,17ft,2168,0.0,2
12:03:22,14,19ft,3068,0.0,0
12:03:35,15,2 Wheeler,130,11.0,8
12:03:35,15,3 Wheeler,360,0.0,8
12:03:35,15,Tata Ace,582,0.0,7
12:03:35,15,Eeco,429,0.0,6
12:03:35,15,Pickup 8ft,746,0.0,2
12:03:35,15,E Loader,330,0.0,1
12:03:35,15,10ft,1484,0.0,4
12:03:35,15,14ft (Closed),2758,0.0,0
12:03:35,15,14ft,2955,0.0,0
12:03:35,15,14ft (Open),2955,0.0,0
12:03:35,15,17ft,3460,0.0,0
12:03:35,15,19ft,3284,0.0,0
12:03:48,16,2 Wheeler,64,5.0,8
12:03:48,16,3 Wheeler,296,0.0,8
12:03:48,16,Tata Ace,431,0.0,8
12:03:48,16,Eeco,341,0.0,2
12:03:48,16,Pickup 8ft,621,0.0,8
12:03:48,16,E Loader,266,0.0,2
12:03:48,16,10ft,945,0.0,5
12:03:48,16,14ft (Closed),1571,0.0,5
12:03:48,16,14ft,1728,0.0,8
12:03:48,16,14ft (Open),1728,0.0,5
12:03:48,16,17ft,2195,0.0,0
12:03:48,16,19ft,3095,0.0,2
12:04:04,17,2 Wheeler,78,6.0,8
12:04:04,17,3 Wheeler,311,0.0,8
12:04:04,17,Tata Ace,469,0.0,8
12:04:04,17,Eeco,374,0.0,6
12:04:04,17,Pickup 8ft,630,0.0,3
12:04:04,17,E Loader,286,0.0,6
12:04:04,17,10ft,997,0.0,3
12:04:04,17,14ft (Closed),1651,0.0,1
12:04:04,17,14ft,1826,0.0,1
12:04:04,17,14ft (Open),1826,0.0,0
12:04:04,17,17ft,2200,0.0,0
12:04:04,17,19ft,3100,0.0,0
12:04:19,18,2 Wheeler,72,6.0,8
12:04:19,18,3 Wheeler,308,0.0,8
12:04:19,18,Tata Ace,448,0.0,8
12:04:19,18,Eeco,356,0.0,6
12:04:19,18,Pickup 8ft,642,0.0,6
12:04:19,18,E Loader,277,0.0,7
12:04:19,18,10ft,968,0.0,3
12:04:19,18,14ft (Closed),1603,0.0,1
12:04:19,18,14ft,1767,0.0,1
12:04:19,18,14ft (Open),1767,0.0,0
12:04:19,18,17ft,2201,0.0,0
12:04:19,18,19ft,3101,0.0,0
12:04:32,19,2 Wheeler,76,6.0,8
12:04:32,19,3 Wheeler,310,0.0,8
12:04:32,19,Tata Ace,457,0.0,8
12:04:32,19,Eeco,363,0.0,6
12:04:32,19,Pickup 8ft,656,0.0,6
12:04:32,19,E Loader,278,0.0,7
12:04:32,19,10ft,981,0.0,3
12:04:32,19,14ft (Closed),1630,0.0,1
12:04:32,19,14ft,1801,0.0,1
12:04:32,19,14ft (Open),1801,0.0,0
12:04:32,19,17ft,2194,0.0,0
12:04:32,19,19ft,3094,0.0,0
12:04:47,20,2 Wheeler,104,9.0,8
12:04:47,20,3 Wheeler,411,0.0,7
12:04:47,20,Tata Ace,560,0.0,6
12:04:47,20,Eeco,469,0.0,3
12:04:47,20,Pickup 8ft,754,0.0,3
12:04:47,20,E Loader,290,0.0,0
12:04:47,20,10ft,1384,0.0,2
12:04:47,20,14ft (Closed),2612,0.0,1
12:04:47,20,14ft,2776,0.0,2
12:04:47,20,14ft (Open),2776,0.0,1
12:04:47,20,17ft,3443,0.0,2
12:04:47,20,19ft,3271,0.0,0
12:05:01,21,2 Wheeler,68,5.0,8
12:05:01,21,3 Wheeler,300,0.0,8
12:05:01,21,Tata Ace,437,0.0,8
12:05:01,21,Eeco,346,0.0,4
12:05:01,21,Pickup 8ft,628,0.0,8
12:05:01,21,E Loader,270,0.0,3
12:05:01,21,10ft,952,0.0,8
12:05:01,21,14ft (Closed),1581,0.0,1
12:05:01,21,14ft,1740,0.0,2
12:05:01,21,14ft (Open),1740,0.0,1
12:05:01,21,17ft,2197,0.0,0
12:05:01,21,19ft,3097,0.0,0
12:05:16,22,2 Wheeler,75,6.0,8
12:05:16,22,3 Wheeler,297,0.0,8
12:05:16,22,Tata Ace,447,0.0,8
12:05:16,22,Eeco,355,0.0,8
12:05:16,22,Pickup 8ft,641,0.0,8
12:05:16,22,E Loader,275,0.0,3
12:05:16,22,10ft,1167,0.0,8
12:05:16,22,14ft (Closed),2104,0.0,3
12:05:16,22,14ft,2268,0.0,4
12:05:16,22,14ft (Open),2268,0.0,1
12:05:16,22,17ft,2917,0.0,2
12:05:16,22,19ft,3098,0.0,0
12:05:32,23,2 Wheeler,303,26.0,8
12:05:32,23,3 Wheeler,970,0.0,8
12:05:32,23,Tata Ace,1228,0.0,8
12:05:32,23,Eeco,1105,0.0,2
12:05:32,23,Pickup 8ft,1510,0.0,5
12:05:32,23,E Loader,723,0.0,3
12:05:32,23,10ft,2009,0.0,6
12:05:32,23,14ft (Closed),3253,0.0,3
12:05:32,23,14ft,3723,0.0,4
12:05:32,23,14ft (Open),3723,0.0,1
12:05:32,23,17ft,4024,0.0,1
12:05:32,23,19ft,4833,0.0,2
12:05:47,24,2 Wheeler,64,5.0,8
12:05:47,24,3 Wheeler,304,0.0,8
12:05:47,24,Tata Ace,439,0.0,8
12:05:47,24,Eeco,349,0.0,6
12:05:47,24,Pickup 8ft,629,0.0,8
12:05:47,24,E Loader,274,0.0,2
12:05:47,24,10ft,955,0.0,6
12:05:47,24,14ft (Closed),1579,0.0,3
12:05:47,24,14ft,1736,0.0,8
12:05:47,24,14ft (Open),1736,0.0,7
12:05:47,24,17ft,2205,0.0,0
12:05:47,24,19ft,3105,0.0,0
12:06:01,25,2 Wheeler,109,9.0,8
12:06:01,25,3 Wheeler,313,0.0,8
12:06:01,25,Tata Ace,518,0.0,8
12:06:01,25,Eeco,374,0.0,8
12:06:01,25,Pickup 8ft,667,0.0,8
12:06:01,25,E Loader,289,0.0,2
12:06:01,25,10ft,1196,0.0,8
12:06:01,25,14ft (Closed),2141,0.0,2
12:06:01,25,14ft,2313,0.0,5
12:06:01,25,14ft (Open),2313,0.0,3
12:06:01,25,17ft,2929,0.0,3
12:06:01,25,19ft,3108,0.0,0
12:06:17,26,2 Wheeler,79,6.0,8
12:06:17,26,3 Wheeler,329,0.0,8
12:06:17,26,Tata Ace,476,0.0,8
12:06:17,26,Eeco,381,0.0,3
12:06:17,26,Pickup 8ft,676,0.0,8
12:06:17,26,E Loader,296,0.0,7
12:06:17,26,10ft,1006,0.0,5
12:06:17,26,14ft (Closed),1651,0.0,1
12:06:17,26,14ft,1824,0.0,6
12:06:17,26,14ft (Open),1824,0.0,5
12:06:17,26,17ft,2217,0.0,1
12:06:17,26,19ft,3117,0.0,0
12:06:31,27,2 Wheeler,75,6.0,8
12:06:31,27,3 Wheeler,311,0.0,8
12:06:31,27,Tata Ace,456,0.0,8
12:06:31,27,Eeco,362,0.0,4
12:06:31,27,Pickup 8ft,653,0.0,5
12:06:31,27,E Loader,430,0.0,6
12:06:31,27,10ft,979,0.0,2
12:06:31,27,14ft (Closed),1622,0.0,2
12:06:31,27,14ft,1790,0.0,3
12:06:31,27,14ft (Open),1790,0.0,1
12:06:31,27,17ft,2200,0.0,0
12:06:31,27,19ft,3100,0.0,0
12:06:45,28,2 Wheeler,81,7.0,8
12:06:45,28,3 Wheeler,327,0.0,8
12:06:45,28,Tata Ace,478,0.0,8
12:06:45,28,Eeco,382,0.0,5
12:06:45,28,Pickup 8ft,680,0.0,8
12:06:45,28,E Loader,294,0.0,8
12:06:45,28,10ft,1009,0.0,5
12:06:45,28,14ft (Closed),1662,0.0,1
12:06:45,28,14ft,1839,0.0,3
12:06:45,28,14ft (Open),1839,0.0,2
12:06:45,28,17ft,2209,0.0,0
12:06:45,28,19ft,3109,0.0,0
12:06:57,29,2 Wheeler,75,6.0,8
12:06:57,29,3 Wheeler,313,0.0,8
12:06:57,29,Tata Ace,457,0.0,8
12:06:57,29,Eeco,364,0.0,4
12:06:57,29,Pickup 8ft,654,0.0,8
12:06:57,29,E Loader,281,0.0,8
12:06:57,29,10ft,981,0.0,5
12:06:57,29,14ft (Closed),1623,0.0,2
12:06:57,29,14ft,1792,0.0,8
12:06:57,29,14ft (Open),1792,0.0,8
12:06:57,29,17ft,2201,0.0,0
