time,loc,vehicle,fare,disc,drivers
21:02:24,11,Tata Ace,630,0.0,8
21:02:24,11,Eeco,484,0.0,8
21:02:24,11,Pickup 8ft,782,0.0,8
21:02:24,11,E Loader,296,0.0,3
21:02:24,11,10ft,2614,0.0,8
21:02:24,11,14ft (Closed),3996,0.0,5
21:02:24,11,14ft,4092,0.0,8
21:02:24,11,14ft (Open),4092,0.0,3
21:02:24,11,17ft,4655,0.0,2
21:02:24,11,19ft,3885,0.0,0
21:02:36,12,2 Wheeler,65,5.0,8
21:02:36,12,3 Wheeler,349,0.0,8
21:02:36,12,Tata Ace,574,0.0,8
21:02:36,12,Eeco,434,0.0,3
21:02:36,12,Pickup 8ft,714,0.0,8
21:02:36,12,E Loader,259,0.0,8
21:02:36,12,10ft,1172,0.0,7
21:02:36,12,14ft (Closed),2376,0.0,3
21:02:36,12,14ft,2454,0.0,8
21:02:36,12,14ft (Open),2454,0.0,7
21:02:36,12,17ft,3122,0.0,3
21:02:36,12,19ft,3702,0.0,1
21:02:49,13,2 Wheeler,84,7.0,8
21:02:49,13,3 Wheeler,389,0.0,8
21:02:49,13,Tata Ace,635,0.0,8
21:02:49,13,Eeco,486,0.0,8
21:02:49,13,Pickup 8ft,790,0.0,8
21:02:49,13,E Loader,295,0.0,5
21:02:49,13,10ft,1314,0.0,8
21:02:49,13,14ft (Closed),2567,0.0,5
21:02:49,13,14ft,2674,0.0,8
21:02:49,13,14ft (Open),2674,0.0,5
21:02:49,13,17ft,3165,0.0,5
21:02:49,13,19ft,3745,0.0,1
21:03:02,14,2 Wheeler,59,5.0,8
21:03:02,14,3 Wheeler,326,0.0,8
21:03:02,14,Tata Ace,511,0.0,8
21:03:02,14,Eeco,421,0.0,8
21:03:02,14,Pickup 8ft,701,0.0,8
21:03:02,14,E Loader,246,0.0,4
21:03:02,14,10ft,1152,0.0,8
21:03:02,14,14ft (Closed),2361,0.0,3
21:03:02,14,14ft,2439,0.0,5
21:03:02,14,14ft (Open),2439,0.0,2
21:03:02,14,17ft,3102,0.0,1
21:03:02,14,19ft,3682,0.0,0
