timestamp,location_id,pickup_address,drop_address,pickup_lat,pickup_lng,drop_lat,drop_lng,vehicle_type,fare,discount,driver_count
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,2 Wheeler,60,3.0,8
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,3 Wheeler,327,0.0,8
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,Tata Ace,512,0.0,8
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,Eeco,422,0.0,3
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,Pickup 8ft,762,0.0,8
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,E Loader,247,0.0,2
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,10ft,1107,0.0,8
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,14ft (Closed),2285,0.0,2
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,14ft,2363,0.0,2
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,14ft (Open),2363,0.0,0
2026-04-02 15:11:05 IST,1,"Shahzada Bagh , Phase 1, Shivaji Nagar","M118,Block M,Shastri Nagar Shastri Nagar",28.67005,77.169726,28.672679,77.172429,17ft,2995,0.0,0
