time,loc,vehicle,fare,disc,drivers
15:00:12,1,2 Wheeler,59,5.0,8
15:00:12,1,3 Wheeler,327,0.0,8
15:00:12,1,Tata Ace,512,0.0,8
15:00:12,1,Eeco,422,0.0,4
15:00:12,1,Pickup 8ft,702,0.0,4
15:00:12,1,E Loader,247,0.0,4
15:00:12,1,10ft,969,0.0,7
15:00:12,1,14ft (Closed),2052,0.0,1
15:00:12,1,14ft,2207,0.0,1
15:00:12,1,14ft (Open),2207,0.0,0
15:00:12,1,17ft,2669,0.0,0
15:00:12,1,19ft,4069,0.0,0
15:00:25,2,2 Wheeler,58,5.0,8
15:00:25,2,3 Wheeler,344,0.0,8
15:00:25,2,Tata Ace,569,0.0,8
15:00:25,2,Eeco,429,0.0,1
15:00:25,2,Pickup 8ft,709,0.0,8
15:00:25,2,E Loader,254,0.0,5
15:00:25,2,10ft,978,0.0,4
15:00:25,2,14ft (Closed),2059,0.0,3
15:00:25,2,14ft,2214,0.0,8
15:00:25,2,14ft (Open),2214,0.0,5
15:00:25,2,17ft,2678,0.0,0
15:00:25,2,19ft,4078,0.0,0
15:00:37,3,2 Wheeler,86,7.0,8
15:00:37,3,3 Wheeler,423,0.0,1
15:00:37,3,Tata Ace,608,0.0,8
15:00:37,3,Eeco,518,0.0,5
15:00:37,3,Pickup 8ft,798,0.0,1
15:00:37,3,E Loader,243,0.0,2
15:00:37,3,10ft,2314,0.0,3
15:00:37,3,14ft (Closed),3548,0.0,0
15:00:37,3,14ft,3703,0.0,1
15:00:37,3,14ft (Open),3703,0.0,1
15:00:37,3,17ft,4381,0.0,0
15:00:37,3,19ft,4064,0.0,0
15:00:48,4,2 Wheeler,64,5.0,8
15:00:48,4,3 Wheeler,352,0.0,8
15:00:48,4,Tata Ace,577,0.0,8
15:00:48,4,Eeco,437,0.0,1
15:00:48,4,Pickup 8ft,717,0.0,6
15:00:48,4,E Loader,262,0.0,6
15:00:48,4,10ft,989,0.0,8
15:00:48,4,14ft (Closed),2067,0.0,2
15:00:48,4,14ft,2224,0.0,7
15:00:48,4,14ft (Open),2224,0.0,5
15:00:48,4,17ft,2689,0.0,0
15:00:48,4,19ft,4089,0.0,0
15:01:01,5,2 Wheeler,60,5.0,8
15:01:01,5,3 Wheeler,350,0.0,8
15:01:01,5,Tata Ace,575,0.0,8
15:01:01,5,Eeco,435,0.0,3
15:01:01,5,Pickup 8ft,715,0.0,6
15:01:01,5,E Loader,260,0.0,4
15:01:01,5,10ft,987,0.0,4
15:01:01,5,14ft (Closed),2065,0.0,0
15:01:01,5,14ft,2222,0.0,0
15:01:01,5,14ft (Open),2222,0.0,0
15:01:01,5,17ft,2687,0.0,0
15:01:01,5,19ft,4087,0.0,0
15:01:17,6,2 Wheeler,62,5.0,8
15:01:17,6,3 Wheeler,341,0.0,8
15:01:17,6,Tata Ace,566,0.0,8
15:01:17,6,Eeco,426,0.0,7
15:01:17,6,Pickup 8ft,706,0.0,8
15:01:17,6,E Loader,251,0.0,1
15:01:17,6,10ft,975,0.0,3
15:01:17,6,14ft (Closed),2056,0.0,5
15:01:17,6,14ft,2212,0.0,8
15:01:17,6,14ft (Open),2212,0.0,5
15:01:17,6,17ft,2675,0.0,1
15:01:17,6,19ft,4075,0.0,1
15:01:30,7,2 Wheeler,89,7.0,8
15:01:30,7,3 Wheeler,341,0.0,5
15:01:30,7,Tata Ace,576,0.0,8
15:01:30,7,Eeco,436,0.0,5
15:01:30,7,Pickup 8ft,716,0.0,0
15:01:30,7,E Loader,261,0.0,0
15:01:30,7,10ft,2338,0.0,0
15:01:30,7,14ft (Closed),3566,0.0,0
15:01:30,7,14ft,3722,0.0,0
15:01:30,7,14ft (Open),3722,0.0,0
15:01:30,7,17ft,4406,0.0,0
15:01:30,7,19ft,4238,0.0,0
15:01:42,8,2 Wheeler,89,7.0,8
15:01:42,8,3 Wheeler,387,0.0,8
15:01:42,8,Tata Ace,639,0.0,5
15:01:42,8,Eeco,491,0.0,2
15:01:42,8,Pickup 8ft,793,0.0,0
15:01:42,8,E Loader,301,0.0,0
15:01:42,8,10ft,1724,0.0,2
15:01:42,8,14ft (Closed),2681,0.0,0
15:01:42,8,14ft,2862,0.0,0
15:01:42,8,14ft (Open),2862,0.0,0
15:01:42,8,17ft,3437,0.0,0
15:01:42,8,19ft,4265,0.0,0
15:01:56,9,2 Wheeler,92,7.0,8
15:01:56,9,3 Wheeler,339,0.0,8
15:01:56,9,Tata Ace,574,0.0,8
15:01:56,9,Eeco,434,0.0,8
15:01:56,9,Pickup 8ft,714,0.0,8
15:01:56,9,E Loader,259,0.0,2
15:01:56,9,10ft,2335,0.0,7
15:01:56,9,14ft (Closed),3564,0.0,0
15:01:56,9,14ft,3720,0.0,0
15:01:56,9,14ft (Open),3720,0.0,0
15:01:56,9,17ft,4404,0.0,0
15:01:56,9,19ft,4235,0.0,0
15:02:08,10,2 Wheeler,67,5.0,8
15:02:08,10,3 Wheeler,355,0.0,8
15:02:08,10,Tata Ace,582,0.0,8
15:02:08,10,Eeco,441,0.0,0
15:02:08,10,Pickup 8ft,723,0.0,8
15:02:08,10,E Loader,265,0.0,6
15:02:08,10,10ft,996,0.0,4
15:02:08,10,14ft (Closed),2076,0.0,0
15:02:08,10,14ft,2235,0.0,0
15:02:08,10,14ft (Open),2235,0.0,0
15:02:08,10,17ft,2690,0.0,0
15:02:08,10,19ft,4090,0.0,0
15:02:21,11,2 Wheeler,113,9.0,8
15:02:21,11,3 Wheeler,381,0.0,8
15:02:21,11,Tata Ace,630,0.0,8
15:02:21,11,Eeco,484,0.0,8
15:02:21,11,Pickup 8ft,782,0.0,8
15:02:21,11,E Loader,296,0.0,3
15:02:21,11,10ft,2412,0.0,8
15:02:21,11,14ft (Closed),3663,0.0,2
15:02:21,11,14ft,3841,0.0,2
15:02:21,11,14ft (Open),3841,0.0,0
15:02:21,11,17ft,4434,0.0,1
15:02:21,11,19ft,4263,0.0,0
15:02:35,12,2 Wheeler,65,5.0,8
15:02:35,12,3 Wheeler,349,0.0,8
15:02:35,12,Tata Ace,574,0.0,8
15:02:35,12,Eeco,434,0.0,3
15:02:35,12,Pickup 8ft,714,0.0,7
15:02:35,12,E Loader,259,0.0,6
15:02:35,12,10ft,985,0.0,7
15:02:35,12,14ft (Closed),2064,0.0,0
15:02:35,12,14ft,2220,0.0,1
15:02:35,12,14ft (Open),2220,0.0,1
15:02:35,12,17ft,2685,0.0,0
15:02:35,12,19ft,4085,0.0,0
15:02:47,13,2 Wheeler,84,7.0,8
15:02:47,13,3 Wheeler,389,0.0,8
15:02:47,13,Tata Ace,635,0.0,8
15:02:47,13,Eeco,487,0.0,8
15:02:47,13,Pickup 8ft,791,0.0,8
15:02:47,13,E Loader,296,0.0,2
15:02:47,13,10ft,1103,0.0,4
15:02:47,13,14ft (Closed),2223,0.0,4
15:02:47,13,14ft,2413,0.0,8
15:02:47,13,14ft (Open),2413,0.0,6
15:02:47,13,17ft,2721,0.0,0
15:02:47,13,19ft,4121,0.0,1
15:02:59,14,2 Wheeler,59,5.0,8
